Date,Ticker,equity
2025-03-07,AAPL,1.0
2025-03-10,AAPL,1.0
2025-03-11,AAPL,1.0
2025-03-12,AAPL,1.0
2025-03-13,AAPL,1.0
2025-03-14,AAPL,1.0
2025-03-17,AAPL,1.0
2025-03-18,AAPL,1.0
2025-03-19,AAPL,1.0
2025-03-20,AAPL,1.0
2025-03-21,AAPL,1.0
2025-03-24,AAPL,1.0
2025-03-25,AAPL,1.0
2025-03-26,AAPL,1.0
2025-03-27,AAPL,1.0
2025-03-28,AAPL,1.0
2025-03-31,AAPL,1.0
2025-04-01,AAPL,1.0
2025-04-02,AAPL,1.0
2025-04-03,AAPL,1.0
2025-04-04,AAPL,1.0
2025-04-07,AAPL,1.0
2025-04-08,AAPL,1.0
2025-04-09,AAPL,1.0
2025-04-10,AAPL,1.0
2025-04-11,AAPL,1.0
2025-04-14,AAPL,1.0
2025-04-15,AAPL,1.0
2025-04-16,AAPL,1.0
2025-04-17,AAPL,1.0
2025-04-21,AAPL,1.0
2025-04-22,AAPL,1.0
2025-04-23,AAPL,1.0
2025-04-24,AAPL,1.0
2025-04-25,AAPL,1.0
2025-04-28,AAPL,1.0
2025-04-29,AAPL,1.0
2025-04-30,AAPL,1.0
2025-05-01,AAPL,1.0
2025-05-02,AAPL,1.0
2025-05-05,AAPL,1.0
2025-05-06,AAPL,1.0
2025-05-07,AAPL,1.0
2025-05-08,AAPL,1.0
2025-05-09,AAPL,1.0
2025-05-12,AAPL,1.0
2025-05-13,AAPL,1.0
2025-05-14,AAPL,1.0
2025-05-15,AAPL,1.0
2025-05-16,AAPL,1.0
2025-05-19,AAPL,1.0
2025-05-20,AAPL,1.0
2025-05-21,AAPL,1.0
2025-05-22,AAPL,1.0
2025-05-23,AAPL,1.0
2025-05-27,AAPL,1.0
2025-05-28,AAPL,1.0
2025-05-29,AAPL,1.0
2025-05-30,AAPL,1.0
2025-06-02,AAPL,1.0
2025-06-03,AAPL,1.0
2025-06-04,AAPL,1.0
2025-06-05,AAPL,1.0
2025-06-06,AAPL,1.0
2025-06-09,AAPL,1.0
2025-06-10,AAPL,1.0
2025-06-11,AAPL,1.0
2025-06-12,AAPL,1.0
2025-06-13,AAPL,1.0
2025-06-16,AAPL,1.0
2025-06-17,AAPL,1.0
2025-06-18,AAPL,1.0
2025-06-20,AAPL,1.0
2025-06-23,AAPL,1.0
2025-06-24,AAPL,1.0
2025-06-25,AAPL,1.0
2025-06-26,AAPL,1.0
2025-06-27,AAPL,1.0
2025-06-30,AAPL,1.0
2025-07-01,AAPL,1.0
2025-07-02,AAPL,1.0
2025-07-03,AAPL,1.0
2025-07-07,AAPL,1.0
2025-07-08,AAPL,1.0
2025-07-09,AAPL,1.0
2025-07-10,AAPL,1.0
2025-07-11,AAPL,1.0
2025-07-14,AAPL,1.0
2025-07-15,AAPL,1.0
2025-07-16,AAPL,1.0
2025-07-17,AAPL,1.0
2025-07-18,AAPL,1.0
2025-07-21,AAPL,1.0
2025-07-22,AAPL,1.0
2025-07-23,AAPL,1.0
2025-07-24,AAPL,1.0
2025-07-25,AAPL,1.0
2025-07-28,AAPL,1.0
2025-07-29,AAPL,1.0
2025-07-30,AAPL,1.0
2025-07-31,AAPL,1.0
2025-08-01,AAPL,1.0
2025-08-04,AAPL,1.0
2025-08-05,AAPL,1.0
2025-08-06,AAPL,1.0
2025-08-07,AAPL,1.0
2025-08-08,AAPL,1.0
2025-08-11,AAPL,1.0
2025-08-12,AAPL,1.0
2025-08-13,AAPL,1.0
2025-08-14,AAPL,1.0
2025-08-15,AAPL,1.0
2025-08-18,AAPL,1.0
2025-08-19,AAPL,1.0
2025-08-20,AAPL,1.0
2025-08-21,AAPL,1.0
2025-08-22,AAPL,1.0
2025-08-25,AAPL,1.0
2025-08-26,AAPL,1.0
