Date,Ticker,equity
2025-03-07,AMZN,1.0
2025-03-10,AMZN,1.0
2025-03-11,AMZN,1.0
2025-03-12,AMZN,1.0
2025-03-13,AMZN,1.0
2025-03-14,AMZN,1.0
2025-03-17,AMZN,1.0
2025-03-18,AMZN,1.0
2025-03-19,AMZN,1.0
2025-03-20,AMZN,1.0
2025-03-21,AMZN,1.0
2025-03-24,AMZN,1.0
2025-03-25,AMZN,1.0
2025-03-26,AMZN,1.0
2025-03-27,AMZN,1.0
2025-03-28,AMZN,1.0
2025-03-31,AMZN,1.0
2025-04-01,AMZN,1.0
2025-04-02,AMZN,1.0
2025-04-03,AMZN,1.0
2025-04-04,AMZN,1.0
2025-04-07,AMZN,1.0
2025-04-08,AMZN,1.0
2025-04-09,AMZN,1.0
2025-04-10,AMZN,1.0
2025-04-11,AMZN,1.0
2025-04-14,AMZN,1.0
2025-04-15,AMZN,1.0
2025-04-16,AMZN,1.0
2025-04-17,AMZN,1.0
2025-04-21,AMZN,1.0
2025-04-22,AMZN,1.0
2025-04-23,AMZN,1.0
2025-04-24,AMZN,1.0
2025-04-25,AMZN,1.0
2025-04-28,AMZN,1.0
2025-04-29,AMZN,1.0
2025-04-30,AMZN,1.0
2025-05-01,AMZN,1.0
2025-05-02,AMZN,1.0
2025-05-05,AMZN,1.0
2025-05-06,AMZN,1.0
2025-05-07,AMZN,1.0
2025-05-08,AMZN,1.0
2025-05-09,AMZN,1.0
2025-05-12,AMZN,1.0
2025-05-13,AMZN,1.0
2025-05-14,AMZN,1.0
2025-05-15,AMZN,1.0
2025-05-16,AMZN,1.0
2025-05-19,AMZN,1.0
2025-05-20,AMZN,1.0
2025-05-21,AMZN,1.0
2025-05-22,AMZN,1.0
2025-05-23,AMZN,1.0
2025-05-27,AMZN,1.0
2025-05-28,AMZN,1.0
2025-05-29,AMZN,1.0
2025-05-30,AMZN,1.0
2025-06-02,AMZN,1.0
2025-06-03,AMZN,1.0
2025-06-04,AMZN,1.0
2025-06-05,AMZN,1.0
2025-06-06,AMZN,1.0
2025-06-09,AMZN,1.0
2025-06-10,AMZN,1.0
2025-06-11,AMZN,1.0
2025-06-12,AMZN,1.0
2025-06-13,AMZN,1.0
2025-06-16,AMZN,1.0
2025-06-17,AMZN,1.0
2025-06-18,AMZN,1.0
2025-06-20,AMZN,1.0
2025-06-23,AMZN,1.0
2025-06-24,AMZN,1.0
2025-06-25,AMZN,1.0
2025-06-26,AMZN,1.0
2025-06-27,AMZN,1.0
2025-06-30,AMZN,1.0
2025-07-01,AMZN,1.0
2025-07-02,AMZN,1.0
2025-07-03,AMZN,1.0
2025-07-07,AMZN,1.0
2025-07-08,AMZN,1.0
2025-07-09,AMZN,1.0
2025-07-10,AMZN,1.0
2025-07-11,AMZN,1.0
2025-07-14,AMZN,1.0
2025-07-15,AMZN,1.0
2025-07-16,AMZN,1.0
2025-07-17,AMZN,1.0
2025-07-18,AMZN,1.0
2025-07-21,AMZN,1.0
2025-07-22,AMZN,1.0
2025-07-23,AMZN,1.0
2025-07-24,AMZN,1.0
2025-07-25,AMZN,1.0
2025-07-28,AMZN,1.0
2025-07-29,AMZN,1.0
2025-07-30,AMZN,1.0
2025-07-31,AMZN,1.0
2025-08-01,AMZN,1.0
2025-08-04,AMZN,1.0
2025-08-05,AMZN,1.0
2025-08-06,AMZN,1.0
2025-08-07,AMZN,1.0
2025-08-08,AMZN,1.0
2025-08-11,AMZN,1.0
2025-08-12,AMZN,1.0
2025-08-13,AMZN,1.0
2025-08-14,AMZN,1.0
2025-08-15,AMZN,1.0
2025-08-18,AMZN,1.0
2025-08-19,AMZN,1.0
2025-08-20,AMZN,1.0
2025-08-21,AMZN,1.0
2025-08-22,AMZN,1.0
2025-08-25,AMZN,1.0
2025-08-26,AMZN,1.0
