Date,Ticker,equity
2025-03-07,GOOGL,1.0
2025-03-10,GOOGL,1.0
2025-03-11,GOOGL,1.0
2025-03-12,GOOGL,1.0
2025-03-13,GOOGL,1.0
2025-03-14,GOOGL,1.0
2025-03-17,GOOGL,1.0
2025-03-18,GOOGL,1.0
2025-03-19,GOOGL,1.0
2025-03-20,GOOGL,1.0
2025-03-21,GOOGL,1.0
2025-03-24,GOOGL,1.0
2025-03-25,GOOGL,1.0
2025-03-26,GOOGL,1.0
2025-03-27,GOOGL,1.0
2025-03-28,GOOGL,1.0
2025-03-31,GOOGL,1.0
2025-04-01,GOOGL,1.0
2025-04-02,GOOGL,1.0
2025-04-03,GOOGL,1.0
2025-04-04,GOOGL,1.0
2025-04-07,GOOGL,1.0
2025-04-08,GOOGL,1.0
2025-04-09,GOOGL,1.0
2025-04-10,GOOGL,1.0
2025-04-11,GOOGL,1.0
2025-04-14,GOOGL,1.0
2025-04-15,GOOGL,1.0
2025-04-16,GOOGL,1.0
2025-04-17,GOOGL,1.0
2025-04-21,GOOGL,1.0
2025-04-22,GOOGL,1.0
2025-04-23,GOOGL,1.0
2025-04-24,GOOGL,1.0
2025-04-25,GOOGL,1.0
2025-04-28,GOOGL,1.0
2025-04-29,GOOGL,1.0
2025-04-30,GOOGL,1.0
2025-05-01,GOOGL,1.0
2025-05-02,GOOGL,1.0
2025-05-05,GOOGL,1.0
2025-05-06,GOOGL,1.0
2025-05-07,GOOGL,1.0
2025-05-08,GOOGL,1.0
2025-05-09,GOOGL,1.0
2025-05-12,GOOGL,1.0
2025-05-13,GOOGL,1.0
2025-05-14,GOOGL,1.0
2025-05-15,GOOGL,1.0
2025-05-16,GOOGL,1.0
2025-05-19,GOOGL,1.0
2025-05-20,GOOGL,1.0
2025-05-21,GOOGL,1.0
2025-05-22,GOOGL,1.0
2025-05-23,GOOGL,1.0
2025-05-27,GOOGL,1.0
2025-05-28,GOOGL,1.0
2025-05-29,GOOGL,1.0
2025-05-30,GOOGL,1.0
2025-06-02,GOOGL,1.0
2025-06-03,GOOGL,1.0
2025-06-04,GOOGL,1.0
2025-06-05,GOOGL,1.0
2025-06-06,GOOGL,1.0
2025-06-09,GOOGL,1.0
2025-06-10,GOOGL,1.0
2025-06-11,GOOGL,1.0
2025-06-12,GOOGL,1.0
2025-06-13,GOOGL,1.0
2025-06-16,GOOGL,1.0
2025-06-17,GOOGL,1.0
2025-06-18,GOOGL,1.0
2025-06-20,GOOGL,1.0
2025-06-23,GOOGL,1.0
2025-06-24,GOOGL,1.0
2025-06-25,GOOGL,1.0
2025-06-26,GOOGL,1.0
2025-06-27,GOOGL,1.0
2025-06-30,GOOGL,1.0
2025-07-01,GOOGL,1.0
2025-07-02,GOOGL,1.0
2025-07-03,GOOGL,1.0
2025-07-07,GOOGL,1.0
2025-07-08,GOOGL,1.0
2025-07-09,GOOGL,1.0
2025-07-10,GOOGL,1.0
2025-07-11,GOOGL,1.0
2025-07-14,GOOGL,1.0
2025-07-15,GOOGL,1.0
2025-07-16,GOOGL,1.0
2025-07-17,GOOGL,1.0
2025-07-18,GOOGL,1.0
2025-07-21,GOOGL,1.0
2025-07-22,GOOGL,1.0
2025-07-23,GOOGL,1.0
2025-07-24,GOOGL,1.0
2025-07-25,GOOGL,1.0
2025-07-28,GOOGL,1.0
2025-07-29,GOOGL,1.0
2025-07-30,GOOGL,1.0
2025-07-31,GOOGL,1.0
2025-08-01,GOOGL,1.0
2025-08-04,GOOGL,1.0
2025-08-05,GOOGL,1.0
2025-08-06,GOOGL,1.0
2025-08-07,GOOGL,1.0
2025-08-08,GOOGL,1.0
2025-08-11,GOOGL,1.0
2025-08-12,GOOGL,1.0
2025-08-13,GOOGL,1.0
2025-08-14,GOOGL,1.0
2025-08-15,GOOGL,1.0
2025-08-18,GOOGL,1.0
2025-08-19,GOOGL,1.0
2025-08-20,GOOGL,1.0
2025-08-21,GOOGL,1.0
2025-08-22,GOOGL,1.0
2025-08-25,GOOGL,1.0
2025-08-26,GOOGL,1.0
