Date,Ticker,equity
2025-03-07,META,1.0
2025-03-10,META,1.0
2025-03-11,META,1.0
2025-03-12,META,1.0
2025-03-13,META,1.0
2025-03-14,META,1.0
2025-03-17,META,1.0
2025-03-18,META,1.0
2025-03-19,META,1.0
2025-03-20,META,1.0
2025-03-21,META,1.0
2025-03-24,META,1.0
2025-03-25,META,1.0
2025-03-26,META,1.0
2025-03-27,META,1.0
2025-03-28,META,1.0
2025-03-31,META,1.0
2025-04-01,META,1.0
2025-04-02,META,1.0
2025-04-03,META,1.0
2025-04-04,META,1.0
2025-04-07,META,1.0
2025-04-08,META,1.0
2025-04-09,META,1.0
2025-04-10,META,1.0
2025-04-11,META,1.0
2025-04-14,META,1.0
2025-04-15,META,1.0
2025-04-16,META,1.0
2025-04-17,META,1.0
2025-04-21,META,1.0
2025-04-22,META,1.0
2025-04-23,META,1.0
2025-04-24,META,1.0
2025-04-25,META,1.0
2025-04-28,META,1.0
2025-04-29,META,1.0
2025-04-30,META,1.0
2025-05-01,META,1.0
2025-05-02,META,1.0
2025-05-05,META,1.0
2025-05-06,META,1.0
2025-05-07,META,1.0
2025-05-08,META,1.0
2025-05-09,META,1.0
2025-05-12,META,1.0
2025-05-13,META,1.0
2025-05-14,META,1.0
2025-05-15,META,1.0
2025-05-16,META,1.0
2025-05-19,META,1.0
2025-05-20,META,1.0
2025-05-21,META,1.0
2025-05-22,META,1.0
2025-05-23,META,1.0
2025-05-27,META,1.0
2025-05-28,META,1.0
2025-05-29,META,1.0
2025-05-30,META,1.0
2025-06-02,META,1.0
2025-06-03,META,1.0
2025-06-04,META,1.0
2025-06-05,META,1.0
2025-06-06,META,1.0
2025-06-09,META,1.0
2025-06-10,META,1.0
2025-06-11,META,1.0
2025-06-12,META,1.0
2025-06-13,META,1.0
2025-06-16,META,1.0
2025-06-17,META,1.0
2025-06-18,META,1.0
2025-06-20,META,1.0
2025-06-23,META,1.0
2025-06-24,META,1.0
2025-06-25,META,1.0
2025-06-26,META,1.0
2025-06-27,META,1.0
2025-06-30,META,1.0
2025-07-01,META,1.0
2025-07-02,META,1.0
2025-07-03,META,1.0
2025-07-07,META,1.0
2025-07-08,META,1.0
2025-07-09,META,1.0
2025-07-10,META,1.0
2025-07-11,META,1.0
2025-07-14,META,1.0
2025-07-15,META,1.0
2025-07-16,META,1.0
2025-07-17,META,1.0
2025-07-18,META,1.0
2025-07-21,META,1.0
2025-07-22,META,1.0
2025-07-23,META,1.0
2025-07-24,META,1.0
2025-07-25,META,1.0
2025-07-28,META,1.0
2025-07-29,META,1.0
2025-07-30,META,1.0
2025-07-31,META,1.0
2025-08-01,META,1.0
2025-08-04,META,1.0
2025-08-05,META,1.0
2025-08-06,META,1.0
2025-08-07,META,1.0
2025-08-08,META,1.0
2025-08-11,META,1.0
2025-08-12,META,1.0
2025-08-13,META,1.0
2025-08-14,META,1.0
2025-08-15,META,1.0
2025-08-18,META,1.0
2025-08-19,META,1.0
2025-08-20,META,1.0
2025-08-21,META,1.0
2025-08-22,META,1.0
2025-08-25,META,1.0
2025-08-26,META,1.0
