Date,Ticker,equity
2025-03-07,MSFT,1.0
2025-03-10,MSFT,1.0
2025-03-11,MSFT,1.0
2025-03-12,MSFT,1.0
2025-03-13,MSFT,1.0
2025-03-14,MSFT,1.0
2025-03-17,MSFT,1.0
2025-03-18,MSFT,1.0
2025-03-19,MSFT,1.0
2025-03-20,MSFT,1.0
2025-03-21,MSFT,1.0
2025-03-24,MSFT,1.0
2025-03-25,MSFT,1.0
2025-03-26,MSFT,1.0
2025-03-27,MSFT,1.0
2025-03-28,MSFT,1.0
2025-03-31,MSFT,1.0
2025-04-01,MSFT,1.0
2025-04-02,MSFT,1.0
2025-04-03,MSFT,1.0
2025-04-04,MSFT,1.0
2025-04-07,MSFT,1.0
2025-04-08,MSFT,1.0
2025-04-09,MSFT,1.0
2025-04-10,MSFT,1.0
2025-04-11,MSFT,1.0
2025-04-14,MSFT,1.0
2025-04-15,MSFT,1.0
2025-04-16,MSFT,1.0
2025-04-17,MSFT,1.0
2025-04-21,MSFT,1.0
2025-04-22,MSFT,1.0
2025-04-23,MSFT,1.0
2025-04-24,MSFT,1.0
2025-04-25,MSFT,1.0
2025-04-28,MSFT,1.0
2025-04-29,MSFT,1.0
2025-04-30,MSFT,1.0
2025-05-01,MSFT,1.0
2025-05-02,MSFT,1.0
2025-05-05,MSFT,1.0
2025-05-06,MSFT,1.0
2025-05-07,MSFT,1.0
2025-05-08,MSFT,1.0
2025-05-09,MSFT,1.0
2025-05-12,MSFT,1.0
2025-05-13,MSFT,1.0
2025-05-14,MSFT,1.0
2025-05-15,MSFT,1.0
2025-05-16,MSFT,1.0
2025-05-19,MSFT,1.0
2025-05-20,MSFT,1.0
2025-05-21,MSFT,1.0
2025-05-22,MSFT,1.0
2025-05-23,MSFT,1.0
2025-05-27,MSFT,1.0
2025-05-28,MSFT,1.0
2025-05-29,MSFT,1.0
2025-05-30,MSFT,1.0
2025-06-02,MSFT,1.0
2025-06-03,MSFT,1.0
2025-06-04,MSFT,1.0
2025-06-05,MSFT,1.0
2025-06-06,MSFT,1.0
2025-06-09,MSFT,1.0
2025-06-10,MSFT,1.0
2025-06-11,MSFT,1.0
2025-06-12,MSFT,1.0
2025-06-13,MSFT,1.0
2025-06-16,MSFT,1.0
2025-06-17,MSFT,1.0
2025-06-18,MSFT,1.0
2025-06-20,MSFT,1.0
2025-06-23,MSFT,1.0
2025-06-24,MSFT,1.0
2025-06-25,MSFT,1.0
2025-06-26,MSFT,1.0
2025-06-27,MSFT,1.0
2025-06-30,MSFT,1.0
2025-07-01,MSFT,1.0
2025-07-02,MSFT,1.0
2025-07-03,MSFT,1.0
2025-07-07,MSFT,1.0
2025-07-08,MSFT,1.0
2025-07-09,MSFT,1.0
2025-07-10,MSFT,1.0
2025-07-11,MSFT,1.0
2025-07-14,MSFT,1.0
2025-07-15,MSFT,1.0
2025-07-16,MSFT,1.0
2025-07-17,MSFT,1.0
2025-07-18,MSFT,1.0
2025-07-21,MSFT,1.0
2025-07-22,MSFT,1.0
2025-07-23,MSFT,1.0
2025-07-24,MSFT,1.0
2025-07-25,MSFT,1.0
2025-07-28,MSFT,1.0
2025-07-29,MSFT,1.0
2025-07-30,MSFT,1.0
2025-07-31,MSFT,1.0
2025-08-01,MSFT,1.0
2025-08-04,MSFT,1.0
2025-08-05,MSFT,1.0
2025-08-06,MSFT,1.0
2025-08-07,MSFT,1.0
2025-08-08,MSFT,1.0
2025-08-11,MSFT,1.0
2025-08-12,MSFT,1.0
2025-08-13,MSFT,1.0
2025-08-14,MSFT,1.0
2025-08-15,MSFT,1.0
2025-08-18,MSFT,1.0
2025-08-19,MSFT,1.0
2025-08-20,MSFT,1.0
2025-08-21,MSFT,1.0
2025-08-22,MSFT,1.0
2025-08-25,MSFT,1.0
2025-08-26,MSFT,1.0
