Date,Ticker,equity
2025-03-07,NVDA,1.0
2025-03-10,NVDA,1.0
2025-03-11,NVDA,1.0
2025-03-12,NVDA,1.0
2025-03-13,NVDA,1.0
2025-03-14,NVDA,1.0
2025-03-17,NVDA,1.0
2025-03-18,NVDA,1.0
2025-03-19,NVDA,1.0
2025-03-20,NVDA,1.0
2025-03-21,NVDA,1.0
2025-03-24,NVDA,1.0
2025-03-25,NVDA,1.0
2025-03-26,NVDA,1.0
2025-03-27,NVDA,1.0
2025-03-28,NVDA,1.0
2025-03-31,NVDA,1.0
2025-04-01,NVDA,1.0
2025-04-02,NVDA,1.0
2025-04-03,NVDA,1.0
2025-04-04,NVDA,1.0
2025-04-07,NVDA,1.0
2025-04-08,NVDA,1.0
2025-04-09,NVDA,1.0
2025-04-10,NVDA,1.0
2025-04-11,NVDA,1.0
2025-04-14,NVDA,1.0
2025-04-15,NVDA,1.0
2025-04-16,NVDA,1.0
2025-04-17,NVDA,1.0
2025-04-21,NVDA,1.0
2025-04-22,NVDA,1.0
2025-04-23,NVDA,1.0
2025-04-24,NVDA,1.0
2025-04-25,NVDA,1.0
2025-04-28,NVDA,1.0
2025-04-29,NVDA,1.0
2025-04-30,NVDA,1.0
2025-05-01,NVDA,1.0
2025-05-02,NVDA,1.0
2025-05-05,NVDA,1.0
2025-05-06,NVDA,1.0
2025-05-07,NVDA,1.0
2025-05-08,NVDA,1.0
2025-05-09,NVDA,1.0
2025-05-12,NVDA,1.0
2025-05-13,NVDA,1.0
2025-05-14,NVDA,1.0
2025-05-15,NVDA,1.0
2025-05-16,NVDA,1.0
2025-05-19,NVDA,1.0
2025-05-20,NVDA,1.0
2025-05-21,NVDA,1.0
2025-05-22,NVDA,1.0
2025-05-23,NVDA,1.0
2025-05-27,NVDA,1.0
2025-05-28,NVDA,1.0
2025-05-29,NVDA,1.0
2025-05-30,NVDA,1.0
2025-06-02,NVDA,1.0
2025-06-03,NVDA,1.0
2025-06-04,NVDA,1.0
2025-06-05,NVDA,1.0
2025-06-06,NVDA,1.0
2025-06-09,NVDA,1.0
2025-06-10,NVDA,1.0
2025-06-11,NVDA,1.0
2025-06-12,NVDA,1.0
2025-06-13,NVDA,1.0
2025-06-16,NVDA,1.0
2025-06-17,NVDA,1.0
2025-06-18,NVDA,1.0
2025-06-20,NVDA,1.0
2025-06-23,NVDA,1.0
2025-06-24,NVDA,1.0
2025-06-25,NVDA,1.0
2025-06-26,NVDA,1.0
2025-06-27,NVDA,1.0
2025-06-30,NVDA,1.0
2025-07-01,NVDA,1.0
2025-07-02,NVDA,1.0
2025-07-03,NVDA,1.0
2025-07-07,NVDA,1.0
2025-07-08,NVDA,1.0
2025-07-09,NVDA,1.0
2025-07-10,NVDA,1.0
2025-07-11,NVDA,1.0
2025-07-14,NVDA,1.0
2025-07-15,NVDA,1.0
2025-07-16,NVDA,1.0
2025-07-17,NVDA,1.0
2025-07-18,NVDA,1.0
2025-07-21,NVDA,1.0
2025-07-22,NVDA,1.0
2025-07-23,NVDA,1.0
2025-07-24,NVDA,1.0
2025-07-25,NVDA,1.0
2025-07-28,NVDA,1.0
2025-07-29,NVDA,1.0
2025-07-30,NVDA,1.0
2025-07-31,NVDA,1.0
2025-08-01,NVDA,1.0
2025-08-04,NVDA,1.0
2025-08-05,NVDA,1.0
2025-08-06,NVDA,1.0
2025-08-07,NVDA,1.0
2025-08-08,NVDA,1.0
2025-08-11,NVDA,1.0
2025-08-12,NVDA,1.0
2025-08-13,NVDA,1.0
2025-08-14,NVDA,1.0
2025-08-15,NVDA,1.0
2025-08-18,NVDA,1.0
2025-08-19,NVDA,1.0
2025-08-20,NVDA,1.0
2025-08-21,NVDA,1.0
2025-08-22,NVDA,1.0
2025-08-25,NVDA,1.0
2025-08-26,NVDA,1.0
