Date,Ticker,equity
2025-03-07,TSL,1.0
2025-03-10,TSL,1.0
2025-03-11,TSL,1.0
2025-03-12,TSL,1.0
2025-03-13,TSL,1.0
2025-03-14,TSL,1.0
2025-03-17,TSL,1.0
2025-03-18,TSL,1.0
2025-03-19,TSL,1.0
2025-03-20,TSL,1.0
2025-03-21,TSL,1.0
2025-03-24,TSL,1.0
2025-03-25,TSL,1.0
2025-03-26,TSL,1.0
2025-03-27,TSL,1.0
2025-03-28,TSL,1.0
2025-03-31,TSL,1.0
2025-04-01,TSL,1.0
2025-04-02,TSL,1.0
2025-04-03,TSL,1.0
2025-04-04,TSL,1.0
2025-04-07,TSL,1.0
2025-04-08,TSL,1.0
2025-04-09,TSL,1.0
2025-04-10,TSL,1.0
2025-04-11,TSL,1.0
2025-04-14,TSL,1.0
2025-04-15,TSL,1.0
2025-04-16,TSL,1.0
2025-04-17,TSL,1.0
2025-04-21,TSL,1.0
2025-04-22,TSL,1.0
2025-04-23,TSL,1.0
2025-04-24,TSL,1.0
2025-04-25,TSL,1.0
2025-04-28,TSL,1.0
2025-04-29,TSL,1.0
2025-04-30,TSL,1.0
2025-05-01,TSL,1.0
2025-05-02,TSL,1.0
2025-05-05,TSL,1.0
2025-05-06,TSL,1.0
2025-05-07,TSL,1.0
2025-05-08,TSL,1.0
2025-05-09,TSL,1.0
2025-05-12,TSL,1.0
2025-05-13,TSL,1.0
2025-05-14,TSL,1.0
2025-05-15,TSL,1.0
2025-05-16,TSL,1.0
2025-05-19,TSL,1.0
2025-05-20,TSL,1.0
2025-05-21,TSL,1.0
2025-05-22,TSL,1.0
2025-05-23,TSL,1.0
2025-05-27,TSL,1.0
2025-05-28,TSL,1.0
2025-05-29,TSL,1.0
2025-05-30,TSL,1.0
2025-06-02,TSL,1.0
2025-06-03,TSL,1.0
2025-06-04,TSL,1.0
2025-06-05,TSL,1.0
2025-06-06,TSL,1.0
2025-06-09,TSL,1.0
2025-06-10,TSL,1.0
2025-06-11,TSL,1.0
2025-06-12,TSL,1.0
2025-06-13,TSL,1.0
2025-06-16,TSL,1.0
2025-06-17,TSL,1.0
2025-06-18,TSL,1.0
2025-06-20,TSL,1.0
2025-06-23,TSL,1.0
2025-06-24,TSL,1.0
2025-06-25,TSL,1.0
2025-06-26,TSL,1.0
2025-06-27,TSL,1.0
2025-06-30,TSL,1.0
2025-07-01,TSL,1.0
2025-07-02,TSL,1.0
2025-07-03,TSL,1.0
2025-07-07,TSL,1.0
2025-07-08,TSL,1.0
2025-07-09,TSL,1.0
2025-07-10,TSL,1.0
2025-07-11,TSL,1.0
2025-07-14,TSL,1.0
2025-07-15,TSL,1.0
2025-07-16,TSL,1.0
2025-07-17,TSL,1.0
2025-07-18,TSL,1.0
2025-07-21,TSL,1.0
2025-07-22,TSL,1.0
2025-07-23,TSL,1.0
2025-07-24,TSL,1.0
2025-07-25,TSL,1.0
2025-07-28,TSL,1.0
2025-07-29,TSL,1.0
2025-07-30,TSL,1.0
2025-07-31,TSL,1.0
2025-08-01,TSL,1.0
2025-08-04,TSL,1.0
2025-08-05,TSL,1.0
2025-08-06,TSL,1.0
2025-08-07,TSL,1.0
2025-08-08,TSL,1.0
2025-08-11,TSL,1.0
2025-08-12,TSL,1.0
2025-08-13,TSL,1.0
2025-08-14,TSL,1.0
2025-08-15,TSL,1.0
2025-08-18,TSL,1.0
2025-08-19,TSL,1.0
2025-08-20,TSL,1.0
2025-08-21,TSL,1.0
2025-08-22,TSL,1.0
2025-08-25,TSL,1.0
2025-08-26,TSL,1.0
